ENOG410VA9E	ENSP00000351790, ENSP00000425556	ENSPTRP00000028462, ENSPTRP00000046961
ENOG410V8FA	ENSP00000379804, ENSP00000412733, ENSP00000296220	ENSPTRP00000047065, ENSPTRP00000026414, ENSPTRP00000025379
ENOG410V8FC	ENSP00000176763, ENSP00000358770	ENSPTRP00000029935, ENSPTRP00000005139
ENOG410V8FB	ENSP00000297837	ENSPTRP00000049152
ENOG410V8FX	ENSP00000239223, ENSP00000240100	ENSPTRP00000029948, ENSPTRP00000034454
ENOG410V8FZ	ENSP00000263578	ENSPTRP00000007612
ENOG410V8FU	ENSP00000343438, ENSP00000392513, ENSP00000363208, ENSP00000363207, ENSP00000309985, ENSP00000407436, ENSP00000449241, ENSP00000403270, ENSP00000461986, ENSP00000307634, ENSP00000363168, ENSP00000380413, ENSP00000415452	ENSPTRP00000042988, ENSPTRP00000034042, ENSPTRP00000008756, ENSPTRP00000044405
ENOG410V8FT	ENSP00000265272, ENSP00000386711, ENSP00000298622	ENSPTRP00000041881, ENSPTRP00000027359
ENOG410V8FW	ENSP00000299293, ENSP00000259748	ENSPTRP00000008838, ENSPTRP00000031029
ENOG410V8FV	ENSP00000363779	ENSPTRP00000036274
ENOG410V8FQ	ENSP00000379964	ENSPTRP00000045362
ENOG410V8FP	ENSP00000358159, ENSP00000317123	ENSPTRP00000031510, ENSPTRP00000020959
ENOG410V8FS	ENSP00000230990	ENSPTRP00000029595
ENOG410V8FR	ENSP00000170564	ENSPTRP00000018493
ENOG410V8F9	ENSP00000318298, ENSP00000289166, ENSP00000308575, ENSP00000358458	ENSPTRP00000000697, ENSPTRP00000001992, ENSPTRP00000059430, ENSPTRP00000047353
ENOG410V8F4	ENSP00000279022, ENSP00000237500, ENSP00000217652	ENSPTRP00000016741, ENSPTRP00000023100, ENSPTRP00000016740
ENOG410V8F7	ENSP00000205402	ENSPTRP00000033534
ENOG410V8F6	ENSP00000362485	ENSPTRP00000036549
ENOG410V8F1	ENSP00000347602, ENSP00000264183	ENSPTRP00000045942, ENSPTRP00000003598
ENOG410V8F0	ENSP00000346402	ENSPTRP00000054947
ENOG410V8F3	ENSP00000260649	ENSPTRP00000020401
ENOG410V8F2	ENSP00000424838, ENSP00000382840, ENSP00000336725	ENSPTRP00000038771, ENSPTRP00000042413
ENOG410VPFM	ENSP00000328149	ENSPTRP00000012790
ENOG410VPFU	ENSP00000361871	ENSPTRP00000023247
ENOG410VD53	ENSP00000367440	ENSPTRP00000030358
ENOG410VD54	ENSP00000358798	ENSPTRP00000005131
ENOG410VD55	ENSP00000303057, ENSP00000300026	ENSPTRP00000029385, ENSPTRP00000012236
ENOG410VD59	ENSP00000334181, ENSP00000461369, ENSP00000397239, ENSP00000460192	ENSPTRP00000007210, ENSPTRP00000059926
ENOG410VD5A	ENSP00000295934	ENSPTRP00000025986
ENOG410VD5B	ENSP00000342071	ENSPTRP00000021031
ENOG410VD5C	ENSP00000267430	ENSPTRP00000010694
ENOG410VD5E	ENSP00000250111, ENSP00000286371	ENSPTRP00000053141, ENSPTRP00000026646
ENOG410VD5F	ENSP00000281437	ENSPTRP00000007648
ENOG410VD5G	ENSP00000348632	ENSPTRP00000022503
ENOG410VD5H	ENSP00000355121	ENSPTRP00000020961
ENOG410VD5M	ENSP00000265361, ENSP00000002829	ENSPTRP00000025798, ENSPTRP00000033095
ENOG410VD5P	ENSP00000344307	ENSPTRP00000035595
ENOG410VD5Q	ENSP00000332404	ENSPTRP00000015296
ENOG410VD5S	ENSP00000426225	ENSPTRP00000053297
ENOG410VD5U	ENSP00000417573	ENSPTRP00000037776
ENOG410VD5V	ENSP00000229824	ENSPTRP00000030933
ENOG410VD5W	ENSP00000360045	ENSPTRP00000052214
ENOG410VD5Y	ENSP00000299601	ENSPTRP00000012100
ENOG410VD5Z	ENSP00000351813	ENSPTRP00000046954
ENOG410V54E	ENSP00000380514	ENSPTRP00000013008
ENOG410V54I	ENSP00000335024, ENSP00000333203, ENSP00000329374, ENSP00000337133, ENSP00000342850, ENSP00000342109, ENSP00000298841, ENSP00000376793, ENSP00000348068	ENSPTRP00000052512, ENSPTRP00000011394, ENSPTRP00000038088, ENSPTRP00000011390, ENSPTRP00000042361, ENSPTRP00000011386, ENSPTRP00000011384, ENSPTRP00000011391, ENSPTRP00000011398
ENOG410WIH4	ENSP00000380150	ENSPTRP00000032220
ENOG410WIH7	ENSP00000355510	ENSPTRP00000050994
ENOG410WIH6	ENSP00000361467	ENSPTRP00000004634
ENOG410WIHC	ENSP00000362677	ENSPTRP00000036505
ENOG410WIHH	ENSP00000354883	ENSPTRP00000041962
ENOG410WIHJ	ENSP00000347997	ENSPTRP00000048280
ENOG410VG85	ENSP00000421915	ENSPTRP00000003757
ENOG410VG86	ENSP00000472802	ENSPTRP00000040068
ENOG410VG8Q	ENSP00000327724	ENSPTRP00000033935
ENOG410VG8U	ENSP00000363495	ENSPTRP00000052232
ENOG410VG8W	ENSP00000368752	ENSPTRP00000022659
ENOG410VG8B	ENSP00000328207	ENSPTRP00000000013
ENOG410VG8C	ENSP00000320302	ENSPTRP00000050771
ENOG410VG8G	ENSP00000330838	ENSPTRP00000047562
ENOG410VG8M	ENSP00000415662	ENSPTRP00000061294
ENOG410VG8N	ENSP00000354590, ENSP00000271375	ENSPTRP00000057560, ENSPTRP00000044751
ENOG410WGB8	ENSP00000380505	ENSPTRP00000021431
ENOG410WGB0	ENSP00000356189	ENSPTRP00000049523
ENOG410WGB5	ENSP00000366326	ENSPTRP00000003973
ENOG410WGBW	ENSP00000170447	ENSPTRP00000025250
ENOG410VCQC	ENSP00000454660, ENSP00000432799	ENSPTRP00000025845
ENOG410VCQA	ENSP00000218758	ENSPTRP00000017931
ENOG410VCQG	ENSP00000333401	ENSPTRP00000024212
ENOG410VCQF	ENSP00000272520	ENSPTRP00000021228
ENOG410VCQE	ENSP00000307046	ENSPTRP00000034956
ENOG410VCQD	ENSP00000265896	ENSPTRP00000035180
ENOG410VCQJ	ENSP00000356037	ENSPTRP00000003228
ENOG410VCQI	ENSP00000378152	ENSPTRP00000013850
ENOG410VCQH	ENSP00000314792	ENSPTRP00000021832
ENOG410VCQN	ENSP00000305632, ENSP00000334382	ENSPTRP00000029155
ENOG410VCQS	ENSP00000347345	ENSPTRP00000024856
ENOG410VCQR	ENSP00000256379	ENSPTRP00000011011
ENOG410VCQV	ENSP00000328269	ENSPTRP00000049115
ENOG410VCQU	ENSP00000365048	ENSPTRP00000010240
ENOG410VCQT	ENSP00000452521	ENSPTRP00000010832
ENOG410VCQZ	ENSP00000334300, ENSP00000363799	ENSPTRP00000036271, ENSPTRP00000036270
ENOG410VCQY	ENSP00000261652	ENSPTRP00000015042
ENOG410VCQX	ENSP00000326652	ENSPTRP00000033675
ENOG410VCQ1	ENSP00000248306	ENSPTRP00000008950
ENOG410VCQ7	ENSP00000339834	ENSPTRP00000030224
ENOG410VCQ9	ENSP00000353013	ENSPTRP00000041862
ENOG410VCQ8	ENSP00000260129	ENSPTRP00000034697
ENOG410VHTK	ENSP00000338288	ENSPTRP00000010350
ENOG410VHTI	ENSP00000373191	ENSPTRP00000051198
ENOG410VHTH	ENSP00000335578	ENSPTRP00000026332
ENOG410VHTF	ENSP00000260442	ENSPTRP00000012103
ENOG410VHTD	ENSP00000334289	ENSPTRP00000049285
ENOG410VHT9	ENSP00000256592	ENSPTRP00000001962
ENOG410VHT3	ENSP00000230568	ENSPTRP00000030212
ENOG410VHT1	ENSP00000219169	ENSPTRP00000014078
ENOG410VHT0	ENSP00000419088	ENSPTRP00000051126
ENOG410VHT7	ENSP00000358595	ENSPTRP00000031433
ENOG410VHT5	ENSP00000321106	ENSPTRP00000033233
ENOG410VHT4	ENSP00000304355	ENSPTRP00000032449
ENOG410VDCB	ENSP00000260585	ENSPTRP00000052120
ENOG410VDCC	ENSP00000316861	ENSPTRP00000037135
ENOG410VDCH	ENSP00000242872	ENSPTRP00000028980
ENOG410VDC4	ENSP00000321445	ENSPTRP00000040250
ENOG410VDC0	ENSP00000228843	ENSPTRP00000007785
ENOG410VDC1	ENSP00000363089	ENSPTRP00000036398
ENOG410VDC8	ENSP00000306015	ENSPTRP00000028158
ENOG410VYWB	ENSP00000364474	ENSPTRP00000049211
ENOG410V7Y7	ENSP00000335371	ENSPTRP00000028528
ENOG410V7Y6	ENSP00000392423	ENSPTRP00000056975
ENOG410V7Y4	ENSP00000378408, ENSP00000345282	ENSPTRP00000039118, ENSPTRP00000013801
ENOG410V7Y1	ENSP00000386156	ENSPTRP00000055814
ENOG410V7Y9	ENSP00000287777, ENSP00000284669	ENSPTRP00000045293
ENOG410V7YG	ENSP00000271526	ENSPTRP00000002490
ENOG410V7YE	ENSP00000262971, ENSP00000464306, ENSP00000249636, ENSP00000376765, ENSP00000465676	ENSPTRP00000002056, ENSPTRP00000017489, ENSPTRP00000017001, ENSPTRP00000060824
ENOG410V7YC	ENSP00000361207	ENSPTRP00000004697
ENOG410V7YN	ENSP00000448182, ENSP00000221543	ENSPTRP00000019446, ENSPTRP00000008882
ENOG410V7YW	ENSP00000204566	ENSPTRP00000012254
ENOG410V7YU	ENSP00000327975	ENSPTRP00000014924
ENOG410V7YS	ENSP00000312054	ENSPTRP00000032653
ENOG410V7YZ	ENSP00000296438	ENSPTRP00000025674
ENOG410V7YY	ENSP00000396857	ENSPTRP00000002011
ENOG410V4Z9	ENSP00000231668	ENSPTRP00000029957
ENOG410V4Z8	ENSP00000462880, ENSP00000341674, ENSP00000363395, ENSP00000362010, ENSP00000346550, ENSP00000377833, ENSP00000352101, ENSP00000265447, ENSP00000462716, ENSP00000296511, ENSP00000262219	ENSPTRP00000004670, ENSPTRP00000058077, ENSPTRP00000028177, ENSPTRP00000043234, ENSPTRP00000004563, ENSPTRP00000020639
ENOG410V4Z5	ENSP00000324553	ENSPTRP00000026321
ENOG410V4Z4	ENSP00000248244	ENSPTRP00000049092
ENOG410V4Z7	ENSP00000262644	ENSPTRP00000034707
ENOG410V4Z6	ENSP00000342667, ENSP00000362555	ENSPTRP00000035009, ENSPTRP00000044897
ENOG410V4Z1	ENSP00000370517, ENSP00000345771, ENSP00000269848	ENSPTRP00000056036, ENSPTRP00000040215, ENSPTRP00000003790
ENOG410V4Z0	ENSP00000267812	ENSPTRP00000011974
ENOG410V4Z3	ENSP00000469094, ENSP00000367894	ENSPTRP00000057074
ENOG410V4Z2	ENSP00000381428	ENSPTRP00000059445
ENOG410VCFS	ENSP00000261893	ENSPTRP00000043936
ENOG410VCFT	ENSP00000344572	ENSPTRP00000006722
ENOG410VCFU	ENSP00000405674	ENSPTRP00000030286
ENOG410V4ZZ	ENSP00000359827, ENSP00000351138	ENSPTRP00000001524, ENSPTRP00000036680
ENOG410V4ZU	ENSP00000410768, ENSP00000378710	ENSPTRP00000041170, ENSPTRP00000035247
ENOG410V4ZT	ENSP00000334319	ENSPTRP00000033102
ENOG410V4ZP	ENSP00000346142	ENSPTRP00000045435
ENOG410V4ZS	ENSP00000313670, ENSP00000264276	ENSPTRP00000021899, ENSPTRP00000025611
ENOG410V4ZM	ENSP00000180173, ENSP00000363985, ENSP00000371221	ENSPTRP00000009743, ENSPTRP00000034274, ENSPTRP00000037747
ENOG410V4ZI	ENSP00000282486, ENSP00000359890, ENSP00000267287	ENSPTRP00000046240, ENSPTRP00000038382, ENSPTRP00000056966
ENOG410V4ZK	ENSP00000443459, ENSP00000322991	ENSPTRP00000008145, ENSPTRP00000019306
ENOG410V4ZJ	ENSP00000241312, ENSP00000441462, ENSP00000384917, ENSP00000297405	ENSPTRP00000034173, ENSPTRP00000035093, ENSPTRP00000052558, ENSPTRP00000049082
ENOG410V4ZE	ENSP00000364520, ENSP00000331867	ENSPTRP00000000174, ENSPTRP00000000453
ENOG410V4ZG	ENSP00000275423, ENSP00000385939	ENSPTRP00000059750, ENSPTRP00000032325
ENOG410V4ZA	ENSP00000318902, ENSP00000386200, ENSP00000309823	ENSPTRP00000050159, ENSPTRP00000026070, ENSPTRP00000033573
ENOG410V4ZC	ENSP00000321029	ENSPTRP00000011843
ENOG410V4ZB	ENSP00000360472, ENSP00000371548	ENSPTRP00000004835, ENSPTRP00000027477
ENOG410VCFA	ENSP00000357251, ENSP00000352927, ENSP00000455908	ENSPTRP00000031723, ENSPTRP00000049503
ENOG410VB9Z	ENSP00000258955	ENSPTRP00000015966
ENOG410VB9X	ENSP00000388137, ENSP00000350833	ENSPTRP00000006022
ENOG410VB9Y	ENSP00000346240, ENSP00000365944, ENSP00000251547	ENSPTRP00000052863, ENSPTRP00000000286, ENSPTRP00000000287
ENOG410VB9V	ENSP00000340609	ENSPTRP00000004609
ENOG410VB9W	ENSP00000282892	ENSPTRP00000060829
ENOG410VB9T	ENSP00000402239	ENSPTRP00000061298
ENOG410VB9U	ENSP00000297151	ENSPTRP00000029882
ENOG410VB9R	ENSP00000261247	ENSPTRP00000010860
ENOG410VB9S	ENSP00000323527	ENSPTRP00000047082
ENOG410VB9P	ENSP00000284881	ENSPTRP00000023776
ENOG410VB9Q	ENSP00000262903	ENSPTRP00000031516
ENOG410VB9N	ENSP00000221403	ENSPTRP00000019319
ENOG410VB9M	ENSP00000348593	ENSPTRP00000004945
ENOG410VB9H	ENSP00000413575	ENSPTRP00000033128
ENOG410VB9I	ENSP00000362751, ENSP00000251507	ENSPTRP00000036468, ENSPTRP00000058205
ENOG410VB9F	ENSP00000217515	ENSPTRP00000017065
ENOG410VB9G	ENSP00000334767, ENSP00000461346	ENSPTRP00000007471
ENOG410VB9D	ENSP00000294168	ENSPTRP00000006507
ENOG410VB9E	ENSP00000272647, ENSP00000262844	ENSPTRP00000047308, ENSPTRP00000021300
ENOG410VB9B	ENSP00000215743	ENSPTRP00000024372
ENOG410VB9A	ENSP00000254942	ENSPTRP00000053457
ENOG410VB98	ENSP00000349687	ENSPTRP00000029783
ENOG410VB99	ENSP00000318770	ENSPTRP00000007062
ENOG410VB94	ENSP00000252971	ENSPTRP00000047521
ENOG410VB92	ENSP00000414378	ENSPTRP00000002365
ENOG410VB93	ENSP00000351947	ENSPTRP00000038869
ENOG410VB90	ENSP00000331462	ENSPTRP00000034850
ENOG410VB91	ENSP00000320346	ENSPTRP00000011966
ENOG410VINP	ENSP00000449740, ENSP00000365744, ENSP00000447760, ENSP00000448320, ENSP00000449953, ENSP00000447605, ENSP00000450024	ENSPTRP00000054597
ENOG410VINS	ENSP00000274024	ENSPTRP00000028163
ENOG410VINU	ENSP00000233047	ENSPTRP00000059928
ENOG410VINN	ENSP00000390750	ENSPTRP00000034608
ENOG410VINA	ENSP00000222547	ENSPTRP00000033203
ENOG410VIN8	ENSP00000468969	ENSPTRP00000017985
ENOG410VIN4	ENSP00000377549	ENSPTRP00000029875
ENOG410VIN5	ENSP00000406327	ENSPTRP00000060743
ENOG410V59M	ENSP00000318868, ENSP00000333667	ENSPTRP00000015094, ENSPTRP00000008712
ENOG410V59S	ENSP00000363157	ENSPTRP00000036375
ENOG410V59V	ENSP00000359370, ENSP00000347329	ENSPTRP00000005009, ENSPTRP00000040943
ENOG410V7W9	ENSP00000264167	ENSPTRP00000021662
ENOG410V7W8	ENSP00000281543	ENSPTRP00000027570
ENOG410V7W5	ENSP00000168977, ENSP00000354387	ENSPTRP00000017480, ENSPTRP00000035951
ENOG410V7W4	ENSP00000262879	ENSPTRP00000023158
ENOG410V7W7	ENSP00000426741, ENSP00000357393	ENSPTRP00000002366
ENOG410V7W6	ENSP00000261531	ENSPTRP00000011189
ENOG410V7W1	ENSP00000380880	ENSPTRP00000017221
ENOG410V7W0	ENSP00000328352	ENSPTRP00000014802
ENOG410V7W2	ENSP00000232458	ENSPTRP00000026898
ENOG410V7WN	ENSP00000382392	ENSPTRP00000050517
ENOG410V7WI	ENSP00000380869, ENSP00000262646	ENSPTRP00000057087, ENSPTRP00000010393
ENOG410V7WH	ENSP00000330060	ENSPTRP00000025390
ENOG410V7WK	ENSP00000361141	ENSPTRP00000004716
ENOG410V7WJ	ENSP00000249075	ENSPTRP00000024522
ENOG410V7WD	ENSP00000290354, ENSP00000290349	ENSPTRP00000023900, ENSPTRP00000023898
ENOG410V7WG	ENSP00000278360	ENSPTRP00000048158
ENOG410V7WF	ENSP00000350199, ENSP00000314414	ENSPTRP00000042158, ENSPTRP00000024487
ENOG410V7WC	ENSP00000327541	ENSPTRP00000002755
ENOG410V7WB	ENSP00000318176, ENSP00000266987	ENSPTRP00000050292, ENSPTRP00000021685
ENOG410V7WY	ENSP00000243896	ENSPTRP00000023344
ENOG410V7WT	ENSP00000311760	ENSPTRP00000046087
ENOG410V7WV	ENSP00000300030	ENSPTRP00000012231
ENOG410V7WP	ENSP00000315835	ENSPTRP00000034064
ENOG410V7WS	ENSP00000269554, ENSP00000365757	ENSPTRP00000015468, ENSPTRP00000003988
ENOG410VCDC	ENSP00000223061	ENSPTRP00000033377
ENOG410VCDE	ENSP00000376162	ENSPTRP00000018298
ENOG410VCDF	ENSP00000321271	ENSPTRP00000009638
ENOG410VCDG	ENSP00000460997	ENSPTRP00000060706
ENOG410VCDH	ENSP00000296849	ENSPTRP00000028625
ENOG410VCDJ	ENSP00000265800	ENSPTRP00000040561
ENOG410VCDK	ENSP00000400168, ENSP00000450995	ENSPTRP00000033280
ENOG410VCDM	ENSP00000414516	ENSPTRP00000016892
ENOG410VCDR	ENSP00000295030	ENSPTRP00000020532
ENOG410VCDS	ENSP00000345281, ENSP00000341658	ENSPTRP00000057053, ENSPTRP00000060106
ENOG410VCDU	ENSP00000296326	ENSPTRP00000059514
ENOG410VCDV	ENSP00000346697	ENSPTRP00000039971
ENOG410VCDW	ENSP00000337405	ENSPTRP00000010291
ENOG410VCDX	ENSP00000311035, ENSP00000381272	ENSPTRP00000026257, ENSPTRP00000051163
ENOG410VCDY	ENSP00000340836	ENSPTRP00000035955
ENOG410VCDZ	ENSP00000246194	ENSPTRP00000052251
ENOG410VCD0	ENSP00000304854	ENSPTRP00000029899
ENOG410VCD1	ENSP00000355046	ENSPTRP00000061406
ENOG410VCD2	ENSP00000328178	ENSPTRP00000027114
ENOG410VCD3	ENSP00000221204	ENSPTRP00000034286
ENOG410VCD5	ENSP00000257863	ENSPTRP00000008537
ENOG410VCD6	ENSP00000358045	ENSPTRP00000002133
ENOG410VCD7	ENSP00000267584	ENSPTRP00000011428
ENOG410VCD8	ENSP00000240651	ENSPTRP00000008120
ENOG410VCD9	ENSP00000354560	ENSPTRP00000002773
ENOG410WBYP	ENSP00000423049	ENSPTRP00000060461
ENOG410WBYW	ENSP00000438279	ENSPTRP00000061227
ENOG410WBYY	ENSP00000449101	ENSPTRP00000060435
ENOG410WBYA	ENSP00000278765	ENSPTRP00000022850
ENOG410WBYD	ENSP00000421473	ENSPTRP00000060759
ENOG410WBYF	ENSP00000340703	ENSPTRP00000051752
ENOG410WBYH	ENSP00000397622	ENSPTRP00000061098
ENOG410WBYJ	ENSP00000429072	ENSPTRP00000060024
ENOG410WBY0	ENSP00000412064	ENSPTRP00000050290
ENOG410WBY3	ENSP00000384566	ENSPTRP00000057723
ENOG410WBY5	ENSP00000389455	ENSPTRP00000060604
ENOG410WBY7	ENSP00000347298, ENSP00000304065	ENSPTRP00000054029
ENOG410WBY6	ENSP00000440123	ENSPTRP00000060756
ENOG410WBY9	ENSP00000416229	ENSPTRP00000060144
ENOG410WBY8	ENSP00000407928, ENSP00000470756	ENSPTRP00000059908
ENOG410V85D	ENSP00000291574	ENSPTRP00000024040
ENOG410V85F	ENSP00000304051	ENSPTRP00000035174
ENOG410V85G	ENSP00000373176	ENSPTRP00000026260
ENOG410V85A	ENSP00000260010	ENSPTRP00000028379
ENOG410V85B	ENSP00000367715	ENSPTRP00000030346
ENOG410V85C	ENSP00000263672	ENSPTRP00000007005
ENOG410V85M	ENSP00000261244	ENSPTRP00000010849
ENOG410V85N	ENSP00000373354, ENSP00000399135, ENSP00000417980, ENSP00000414377, ENSP00000382886, ENSP00000364687, ENSP00000398286, ENSP00000408583, ENSP00000397323	ENSPTRP00000048599, ENSPTRP00000050361
ENOG410V85H	ENSP00000279386	ENSPTRP00000013650
ENOG410V85I	ENSP00000338766	ENSPTRP00000026546
ENOG410V85J	ENSP00000221573	ENSPTRP00000061144
ENOG410V85K	ENSP00000356481, ENSP00000362409	ENSPTRP00000048921, ENSPTRP00000002961
ENOG410V85T	ENSP00000298999	ENSPTRP00000004953
ENOG410V85U	ENSP00000320376, ENSP00000307259	ENSPTRP00000026752, ENSPTRP00000026751
ENOG410V85V	ENSP00000346173	ENSPTRP00000019549
ENOG410V85W	ENSP00000409964	ENSPTRP00000028545
ENOG410V85Q	ENSP00000361646	ENSPTRP00000046516
ENOG410V85R	ENSP00000354394, ENSP00000264657, ENSP00000351255	ENSPTRP00000021795, ENSPTRP00000015670
ENOG410V85S	ENSP00000348578, ENSP00000352738	ENSPTRP00000041123, ENSPTRP00000040810
ENOG410V85X	ENSP00000404042, ENSP00000330945	ENSPTRP00000032713, ENSPTRP00000030051
ENOG410V85Y	ENSP00000261234	ENSPTRP00000008791
ENOG410V85Z	ENSP00000219070, ENSP00000361405	ENSPTRP00000023334, ENSPTRP00000013860
ENOG410V854	ENSP00000364140, ENSP00000347665	ENSPTRP00000053920, ENSPTRP00000049148
ENOG410V855	ENSP00000264265	ENSPTRP00000026801
ENOG410V856	ENSP00000356298	ENSPTRP00000003057
ENOG410V857	ENSP00000364555	ENSPTRP00000000445
ENOG410V852	ENSP00000459404, ENSP00000226218	ENSPTRP00000015217
ENOG410V853	ENSP00000369126, ENSP00000352929, ENSP00000421689, ENSP00000324464	ENSPTRP00000016665, ENSPTRP00000047919, ENSPTRP00000060040, ENSPTRP00000040515
ENOG410V858	ENSP00000351059	ENSPTRP00000057025
ENOG410VDH8	ENSP00000263401	ENSPTRP00000006092
ENOG410VDH3	ENSP00000382767	ENSPTRP00000027487
ENOG410VDH2	ENSP00000420959, ENSP00000338057	ENSPTRP00000021034
ENOG410VDH1	ENSP00000274695	ENSPTRP00000030337
ENOG410VDH0	ENSP00000272091	ENSPTRP00000051106
ENOG410VDH5	ENSP00000333037	ENSPTRP00000026851
ENOG410VDHY	ENSP00000300145, ENSP00000460944	ENSPTRP00000008771
ENOG410VDHX	ENSP00000257857	ENSPTRP00000008613
ENOG410VDHS	ENSP00000364898, ENSP00000264972	ENSPTRP00000036060, ENSPTRP00000021008
ENOG410VDHR	ENSP00000304308	ENSPTRP00000023462
ENOG410VDHP	ENSP00000361097	ENSPTRP00000004728
ENOG410VDHW	ENSP00000272907	ENSPTRP00000022193
ENOG410VDHV	ENSP00000333725, ENSP00000375416	ENSPTRP00000009622
ENOG410VDHU	ENSP00000378289	ENSPTRP00000059325
ENOG410VDHT	ENSP00000461104, ENSP00000222800	ENSPTRP00000032953
ENOG410VDHK	ENSP00000376445	ENSPTRP00000007613
ENOG410VDHI	ENSP00000294507	ENSPTRP00000000787
ENOG410VDHC	ENSP00000350050	ENSPTRP00000060189
ENOG410VDHD	ENSP00000219794	ENSPTRP00000013720
ENOG410V7U9	ENSP00000256689, ENSP00000266579, ENSP00000346959	ENSPTRP00000008303, ENSPTRP00000008306, ENSPTRP00000010884
ENOG410V7UN	ENSP00000439467	ENSPTRP00000032147
ENOG410V7UC	ENSP00000347648, ENSP00000217130	ENSPTRP00000023715, ENSPTRP00000040766
ENOG410V7UE	ENSP00000355208, ENSP00000361021, ENSP00000372437	ENSPTRP00000053686, ENSPTRP00000004746
ENOG410V638	ENSP00000262435, ENSP00000354621, ENSP00000461327	ENSPTRP00000016213, ENSPTRP00000047812
ENOG410V639	ENSP00000431840, ENSP00000344801, ENSP00000333519, ENSP00000341550, ENSP00000261892	ENSPTRP00000035592, ENSPTRP00000011339, ENSPTRP00000012038, ENSPTRP00000022797, ENSPTRP00000012286
ENOG410V630	ENSP00000328118, ENSP00000430276	ENSPTRP00000026951
ENOG410V631	ENSP00000442688	ENSPTRP00000008524
ENOG410V633	ENSP00000299687	ENSPTRP00000017191
ENOG410V634	ENSP00000302783	ENSPTRP00000014857
ENOG410V635	ENSP00000471884, ENSP00000156084	ENSPTRP00000037558
ENOG410V636	ENSP00000369374, ENSP00000414750	ENSPTRP00000057622, ENSPTRP00000012338
ENOG410V63X	ENSP00000285071	ENSPTRP00000015051
ENOG410V63Y	ENSP00000357861	ENSPTRP00000002193
ENOG410V63P	ENSP00000255082, ENSP00000263080	ENSPTRP00000006835, ENSPTRP00000014620
ENOG410V63Q	ENSP00000392252, ENSP00000392549, ENSP00000380427	ENSPTRP00000055754
ENOG410V63R	ENSP00000359778	ENSPTRP00000001547
ENOG410V63T	ENSP00000026218	ENSPTRP00000012879
ENOG410V63U	ENSP00000286317	ENSPTRP00000029827
ENOG410V63V	ENSP00000285930, ENSP00000312606, ENSP00000463185, ENSP00000298375, ENSP00000369927, ENSP00000263126, ENSP00000462940, ENSP00000370254, ENSP00000242375, ENSP00000463709, ENSP00000352584, ENSP00000370129, ENSP00000464178	ENSPTRP00000003793, ENSPTRP00000003803, ENSPTRP00000033770, ENSPTRP00000001168, ENSPTRP00000003805, ENSPTRP00000033774, ENSPTRP00000003797, ENSPTRP00000033814
ENOG410V63H	ENSP00000365756	ENSPTRP00000000302
ENOG410V63J	ENSP00000261441, ENSP00000334040	ENSPTRP00000033073, ENSPTRP00000001933
ENOG410V63K	ENSP00000351669	ENSPTRP00000031482
ENOG410V63M	ENSP00000354812	ENSPTRP00000044325
ENOG410V63A	ENSP00000359567	ENSPTRP00000046752
ENOG410V63B	ENSP00000406738, ENSP00000466426	ENSPTRP00000015218
ENOG410V63C	ENSP00000261669, ENSP00000258418	ENSPTRP00000009989, ENSPTRP00000022257
ENOG410V63D	ENSP00000360782	ENSPTRP00000036911
ENOG410V63E	ENSP00000362613, ENSP00000370408	ENSPTRP00000037889, ENSPTRP00000009771
ENOG410V63F	ENSP00000384670	ENSPTRP00000038250
ENOG410V63G	ENSP00000440847, ENSP00000470061	ENSPTRP00000039188
ENOG410V9QU	ENSP00000328410	ENSPTRP00000032395
ENOG410V9QT	ENSP00000252115	ENSPTRP00000024908
ENOG410V9QW	ENSP00000298317	ENSPTRP00000007605
ENOG410V9QV	ENSP00000188312	ENSPTRP00000009079
ENOG410V9QQ	ENSP00000393596	ENSPTRP00000052049
ENOG410V9QR	ENSP00000381780	ENSPTRP00000056494
ENOG410V9QY	ENSP00000270502	ENSPTRP00000017876
ENOG410V9QX	ENSP00000394791, ENSP00000296257	ENSPTRP00000027018, ENSPTRP00000008330
ENOG410V9QZ	ENSP00000299022	ENSPTRP00000051465
ENOG410V9QE	ENSP00000333664	ENSPTRP00000025446
ENOG410V9QD	ENSP00000350256, ENSP00000304414	ENSPTRP00000025588, ENSPTRP00000054532
ENOG410V9QA	ENSP00000231948	ENSPTRP00000051622
ENOG410V9QC	ENSP00000330930, ENSP00000309230	ENSPTRP00000012522, ENSPTRP00000039394
ENOG410V9QB	ENSP00000278353	ENSPTRP00000006113
ENOG410V9QM	ENSP00000344308	ENSPTRP00000022989
ENOG410V9QN	ENSP00000285735, ENSP00000400175, ENSP00000272233	ENSPTRP00000060825, ENSPTRP00000001916, ENSPTRP00000025759
ENOG410V9QI	ENSP00000283871	ENSPTRP00000026325
ENOG410V9QJ	ENSP00000458114	ENSPTRP00000053068
ENOG410V9Q5	ENSP00000357051	ENSPTRP00000051676
ENOG410V9Q4	ENSP00000450040	ENSPTRP00000011549
ENOG410V9Q7	ENSP00000347184	ENSPTRP00000027313
ENOG410V9Q6	ENSP00000226284	ENSPTRP00000027934
ENOG410V9Q1	ENSP00000333283	ENSPTRP00000016620
ENOG410V9Q3	ENSP00000240423	ENSPTRP00000020963
ENOG410V9Q9	ENSP00000316950	ENSPTRP00000012039
